epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6392,3.53207,4.13825,2.85957,0,0,0,0,0,6.03125,0,0,0,0
2,6.1533,2.34529,4.58555,2.36019,0,0,0,0,0,6.03125,0,1.604e-05,1.604e-05,1.604e-05
3,7.82399,3.47905,4.85274,3.01115,0,0,0,0,0,6.03125,0,2.416e-05,2.416e-05,2.416e-05
4,8.55032,3.74772,4.54768,2.9411,0,0,0,0,0,6.03125,0,2.436e-05,2.436e-05,2.436e-05
5,9.28034,3.75656,4.94234,2.85818,0,0,0,0,0,6.03125,0,1.664e-05,1.664e-05,1.664e-05
