epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59369,3.53207,4.13826,2.85957,0,0,0,0,0,6.03125,0,0,0,0
2,8.43645,2.34529,4.58554,2.36019,0,0,0,0,0,6.03125,0,1.604e-05,1.604e-05,1.604e-05
3,10.2148,3.47905,4.85273,3.01115,0,0,0,0,0,6.03125,0,2.416e-05,2.416e-05,2.416e-05
4,11.3367,3.74772,4.54769,2.9411,0,0,0,0,0,6.03125,0,2.436e-05,2.436e-05,2.436e-05
5,12.0315,3.75656,4.94234,2.85818,0,0,0,0,0,6.03125,0,1.664e-05,1.664e-05,1.664e-05
